,Date,Open,High,Low,Close,Adj Close,Volume,change,log_return
27,2022-06-21,108.199997,111.629997,103.559998,108.68,108.68,70901200,0.0231594706914003,0.0228953601494711
28,2022-06-17,102.800003,106.980003,102.510002,106.220001,106.220001,99772100,0.024696092043369,0.0243960730594256
29,2022-06-16,104.470001,104.580002,102.010002,103.660004,103.660004,82186300,-0.0372433739619834,-0.0379546239030989
30,2022-06-15,103.860001,109.059998,103.529999,107.669998,107.669998,85011100,0.052389796743032,0.0510635749099321
31,2022-06-14,104.190002,104.879997,101.43,102.309998,102.309998,69728800,-0.0131185494958726,-0.0132053577006194
32,2022-06-13,104.190002,106.540001,101.860001,103.669998,103.669998,99277700,-0.0545371991876479,-0.0560807350607147
33,2022-06-10,113.419998,114.5,109.050003,109.650002,109.650002,87266000,-0.0559621169873075,-0.0575889833317801
34,2022-06-09,119.989998,121.300003,116.099998,116.150002,116.150002,67029800,-0.0415084832480608,-0.0423945670813118
35,2022-06-08,122.610001,123.75,120.75,121.18,121.18,64926600,-0.0147967479674796,-0.0149073118555745
36,2022-06-07,122.010002,124.099998,120.629997,123,123,85156700,-0.0143441059832991,-0.0144479771608081
37,2022-06-06,125.25,128.990005,123.809998,124.790001,124.790001,135269000,0.0199428119320444,0.0197465589910919
38,2022-06-03,124.199997,124.400002,121.046501,122.349998,122.349998,97604000,-0.0251850750103963,-0.0255076465259691
39,2022-06-02,121.683998,125.610001,120.044998,125.511002,125.511002,100560000,0.0314503473168263,0.0309659159835928
40,2022-06-01,122.255997,125.179001,120.622498,121.683998,121.683998,127528000,0.0122660435589689,0.0121914252083057
41,2022-05-31,116.279999,121.994499,115.675003,120.209503,120.209503,144634000,0.0439700989608889,0.0430308482082298
42,2022-05-27,113.550003,115.186996,112.627998,115.1465,115.1465,93660000,0.0366320905370763,0.0359770837871342
43,2022-05-26,107.970001,112.665497,107.453499,111.077499,111.077499,93002000,0.0402949840263173,0.039504311422334
44,2022-05-25,103.655502,108.175003,103.650002,106.775002,106.775002,93120000,0.0256964846435444,0.0253718790498792
45,2022-05-24,104.025002,105.400002,101.260002,104.099998,104.099998,102934000,-0.0321411068748767,-0.0326689738962225
46,2022-05-23,108.460999,108.819,103.949997,107.556999,107.556999,107798000,-0.000316048731323714,-0.00031609868524955
47,2022-05-20,109.568497,109.898003,105.009499,107.591003,107.591003,99500000,0.00253452790279445,0.00253132140378074
48,2022-05-19,106.280502,110.033997,106.193001,107.319,107.319,88142000,0.00192785150394627,0.00192599558314594
49,2022-05-18,111.439499,112.852997,106.249001,107.112503,107.112503,108380000,-0.0715619688216454,-0.0742516412046284
50,2022-05-17,113.275002,115.800003,111.276497,115.3685,115.3685,76448000,0.0411332767099392,0.0403098090171931
51,2022-05-16,113.099998,113.9925,110.353996,110.810501,110.810501,74566000,-0.0198531599663881,-0.0200528817729351
52,2022-05-13,109.069,113.183998,107.800003,113.055,113.055,93684000,0.0572755596308092,0.0556953726571526
53,2022-05-12,102.75,110.780502,102.405502,106.930496,106.930496,132026000,0.0147903994459554,0.0146820881601575
54,2022-05-11,108.1035,110.155998,104.428497,105.372002,105.372002,109704000,-0.032032252436342,-0.0325565108932227
55,2022-05-10,111.25,112.642502,107.170998,108.859001,108.859001,105434000,0.000643447401451985,0.000643240477931017
56,2022-05-09,111.3125,114,107.957001,108.789001,108.789001,128124000,-0.0521335516097806,-0.0535416638767506
57,2022-05-06,114.849998,119.050499,113.081497,114.772499,114.772499,124260000,-0.0140412434654487,-0.0141407543268249
58,2022-05-05,123,123.499001,115.072502,116.406998,116.406998,144392000,-0.075610360060122,-0.0786216079793333
59,2022-05-04,123.599998,126,119.182999,125.928497,125.928497,110746000,0.0134804651220212,0.0133904120542242
60,2022-05-03,124.053497,126.220497,122.824997,124.253502,124.253502,79134000,-0.00197990361445785,-0.00198186621455303
61,2022-05-02,122.401001,124.667999,118.375,124.5,124.5,148788000,0.00175808947014494,0.00175654583981448
62,2022-04-29,129.848999,130.761002,121.625,124.281502,124.281502,272662000,-0.140494378643212,-0.15139791391676
63,2022-04-28,142.177994,145.9375,140.300003,144.596497,144.596497,117316000,0.0465341917698195,0.0454839348688159
64,2022-04-27,140.191498,141.948502,135.783493,138.167007,138.167007,71336000,-0.00878104717889755,-0.00881982776334496
65,2022-04-26,144.800003,144.856003,138.929504,139.391006,139.391006,77530000,-0.0457507754374229,-0.0468303999716661
66,2022-04-25,144.022995,146.221497,142.306503,146.074005,146.074005,61874000,0.0119431862025693,0.0118724291733201
67,2022-04-22,148.25,149.615005,143.697495,144.350006,144.350006,73078000,-0.0266089366331885,-0.0269693624685563
68,2022-04-21,154.714005,156.738007,147.589493,148.296005,148.296005,63970000,-0.0370264286742266,-0.0377293116667622
69,2022-04-20,157.602493,157.602493,153.6035,153.998001,153.998001,59630000,-0.0260410469324406,-0.0263861188687374
70,2022-04-19,152.029495,158.649002,151.550507,158.115494,158.115494,54926000,0.0348888297964113,0.0342940101236534
71,2022-04-18,151.523499,154.039505,150.250504,152.785004,152.785004,46514000,0.00710916817227659,0.00708401716768766
72,2022-04-14,155.389999,155.897003,151.472,151.706497,151.706497,51598000,-0.0246526832153579,-0.0249616490731825
73,2022-04-13,150.018494,156.024994,149.600006,155.541,155.541,53390000,0.0315244553484424,0.0310377617778818
74,2022-04-12,153.692505,155.098999,150.382996,150.787506,150.787506,55178000,-0.00221336412488041,-0.00221581723567509
75,2022-04-11,152.712997,154.136505,150.5345,151.121994,151.121994,52112000,-0.0216139473073682,-0.0218509499309039
76,2022-04-08,156.75,157.3685,154.231003,154.460495,154.460495,46002000,-0.0210667397621439,-0.0212918101361185
77,2022-04-07,158.399994,160.078995,154.511505,157.7845,157.7845,68136000,-0.00611943497164393,-0.00613823545194875
78,2022-04-06,161.650497,162.199997,157.254501,158.755997,158.755997,79056000,-0.032300120240778,-0.0328332813494362
79,2022-04-05,167.741501,168.110504,163.266006,164.054993,164.054993,53728000,-0.0254920896869033,-0.0258226427631089
80,2022-04-04,164.125,168.394501,163.205505,168.346497,168.346497,49882000,0.0292644843392575,0.0288444542812766
81,2022-04-01,164.149506,165.826996,162.319504,163.559998,163.559998,57090000,0.00345097321677907,0.00344503227280989
82,2022-03-31,166.445007,166.494995,162.953506,162.997498,162.997498,59966000,-0.0198645654525398,-0.0200645183482383
83,2022-03-30,168.509506,168.9505,165.5,166.300995,166.300995,56168000,-0.0178011810199783,-0.0179615278008254
84,2022-03-29,170.384003,170.831497,167.8685,169.315002,169.315002,66154000,0.00192027369302785,0.00191843232441085
85,2022-03-28,164.975006,169.037506,164.899994,168.990494,168.990494,59854000,0.0255926773758687,0.025270667314658
86,2022-03-25,164,165.3685,162.25,164.773499,164.773499,49032000,0.00686829448785494,0.00684481520040042
87,2022-03-24,163.749496,164.1185,160.050003,163.649506,163.649506,56798000,0.00147790189348435,0.00147681087129779
88,2022-03-23,163.705002,166.369995,162.686996,163.408005,163.408005,55812000,-0.00898181763577586,-0.00902239732881327
89,2022-03-22,161.805496,166.167007,161.699005,164.889008,164.889008,64086000,0.0210383021952344,0.0208200528718629
90,2022-03-21,161.121002,163.084,159.552994,161.491501,161.491501,66538000,0.00149455036742082,0.00149343463855745
91,2022-03-18,156.813004,161.593994,156.011002,161.250504,161.250504,102962000,0.0255121569777492,0.0251921531433565
92,2022-03-17,152.640503,157.498505,152.139999,157.238998,157.238998,72934000,0.0270077456628764,0.0266494729460974
93,2022-03-16,148.5,153.149994,147.3535,153.104004,153.104004,84958000,0.0389335633340443,0.0381947671795326
94,2022-03-15,142.850006,147.985001,142,147.366501,147.366501,75584000,0.0388677300910323,0.0381313989996759
95,2022-03-14,145.981003,147.449997,140.884003,141.852997,141.852997,74086000,-0.0252294895266644,-0.0255532095625694
96,2022-03-11,149.574493,149.675003,145.369003,145.524506,145.524506,68900000,-0.00880684493310255,-0.00884585439434038
97,2022-03-10,145.684998,148.6745,143.977997,146.817505,146.817505,135062000,0.0541251561335443,0.0527111870293841
98,2022-03-09,139.5,140.25,136.828003,139.279007,139.279007,82656000,0.0240011991074834,0.0237176976200321
99,2022-03-08,136.683502,140.699493,133.572495,136.014496,136.014496,91662000,-0.0104654461423443,-0.0105205940260751
100,2022-03-07,145.443497,146.094498,137.416504,137.453003,137.453003,86934000,-0.0562204507156454,-0.0578626684090876
101,2022-03-04,147.158997,147.850006,143.807007,145.641006,145.641006,60934000,-0.0152637992627632,-0.0153814901897137
102,2022-03-03,153.531494,153.929001,146.856003,147.898499,147.898499,65198000,-0.0273195499146825,-0.027699667915366
103,2022-03-02,150.848999,152.999496,148.75,152.052505,152.052505,47334000,0.00602418263651639,0.00600610979470952
104,2022-03-01,152.732498,154.098999,149.977005,151.141998,151.141998,44874000,-0.0157655550942466,-0.0158911532905374
105,2022-02-28,152.425003,154.449997,150.850006,153.563004,153.563004,57684000,-0.00146626050018381,-0.00146733651204879
106,2022-02-25,150.550003,153.990005,149.213501,153.788498,153.788498,62396000,0.0160579286716536,0.0159303639400243
107,2022-02-24,139.837494,151.748993,139.5,151.358002,151.358002,100786000,0.045095225202351,0.0441080058607319
108,2022-02-23,151.650497,151.763,144.651001,144.826996,144.826996,64244000,-0.0357562487976247,-0.0364111623893896
109,2022-02-22,150.4785,152.982498,148.485504,150.197495,150.197495,66128000,-0.0157534885584121,-0.0158788935470069
110,2022-02-18,155.499496,155.499496,150.893005,152.601501,152.601501,63604000,-0.0132619586042763,-0.0133506836960755
111,2022-02-17,158.145996,160.348999,154.5,154.652496,154.652496,64032000,-0.0218089008627638,-0.0220502301441666
112,2022-02-16,155.790497,158.834,154.734497,158.100494,158.100494,52704000,0.0101590373829108,0.0101077812125669
113,2022-02-15,157.605499,158.007004,154.637497,156.510498,156.510498,56440000,0.00865835480090171,0.00862108621555768
114,2022-02-14,151.751007,158.448502,151.649994,155.167007,155.167007,83230000,0.0122216790883827,0.0121475973598114
115,2022-02-11,158.134506,159,152.733994,153.293503,153.293503,77100000,-0.0359111039408983,-0.036571772794266
116,2022-02-10,158.350006,160.716507,157.75,159.003494,159.003494,68268000,-0.0135617085080711,-0.0136545084491953
117,2022-02-09,162.873505,163.834503,160.25,161.189499,161.189499,68786000,-0.00138773400474843,-0.00138869779934597
118,2022-02-08,156.750504,161.792496,155.550507,161.413498,161.413498,76040000,0.0220216289433243,0.0217826549072044
119,2022-02-07,158.520004,162.690994,157.25,157.935501,157.935501,102624000,0.00187773373748911,0.0018759729992818
120,2022-02-04,155.606506,161.199997,150.608002,157.639496,157.639496,253456000,0.135359016483825,0.126948914999279
121,2022-02-03,141.737503,144.247498,138.332993,138.845505,138.845505,225532000,-0.0781276306124466,-0.0813484930037285
122,2022-02-02,155.050507,155.074997,148.863495,150.612503,150.612503,87330000,-0.00384271818251551,-0.00385012039318857
123,2022-02-01,150,151.707993,147.627502,151.193497,151.193497,59220000,0.0108307619888449,0.0107725293779248
124,2022-01-31,144.75,150.360504,144.300507,149.573502,149.573502,78308000,0.0388636119170348,0.0381274348933315
125,2022-01-28,140.860504,143.998001,137.929504,143.977997,143.977997,74392000,0.0310840576009465,0.0306107318772261
126,2022-01-27,140.800003,144.2435,139.350006,139.637497,139.637497,77516000,0.00550864289918648,0.00549352581688601
127,2022-01-26,144.75,145.184998,137.318497,138.872498,138.872498,95602000,-0.00795432445840726,-0.00798612886451714
128,2022-01-25,142.242493,143.600006,138.145004,139.985992,139.985992,90824000,-0.0315337462004477,-0.0320416405216471
129,2022-01-24,139,144.945007,135.352005,144.544006,144.544006,155624000,0.0133269836820951,0.0132389606271929
130,2022-01-21,149.949997,150.899994,142.070496,142.643005,142.643005,163972000,-0.0595018130977781,-0.0613455580449071
131,2022-01-20,156.766006,158,151.350998,151.667496,151.667496,71974000,-0.0296323080667773,-0.0300802154625754
132,2022-01-19,158.761993,159.25,156.25,156.298996,156.298996,53242000,-0.0164771033140367,-0.0166143606045326
133,2022-01-18,159.104996,159.734497,157.664505,158.917496,158.917496,67292000,-0.0198627342140646,-0.0200626499974983
134,2022-01-14,160.149994,162.25,159.800507,162.138,162.138,45974000,0.00573148095911406,0.00571511851304998
135,2022-01-13,165.250504,166.221497,161.091003,161.214005,161.214005,52188000,-0.0241696536819284,-0.0244665331722258
136,2022-01-12,166.574997,166.878006,164.417007,165.207001,165.207001,50030000,-0.000937331430437487,-0.000937771000245946
137,2022-01-11,161.5,166.350006,160.701508,165.362,165.362,62806000,0.0240021314046855,0.0237186080650379
138,2022-01-10,160.585495,161.661499,156.304504,161.485992,161.485992,87798000,-0.00657017971523192,-0.0065918583531809
139,2022-01-07,163.839005,165.2435,162.031006,162.554001,162.554001,46606000,-0.00428777860619374,-0.00429699749067644
140,2022-01-06,163.4505,164.800003,161.936996,163.253998,163.253998,51958000,-0.00671098300379619,-0.00673360290823108
141,2022-01-05,166.882996,167.126495,164.356995,164.356995,164.356995,64302000,-0.0188930883306117,-0.019073843021188
142,2022-01-04,170.438004,171.399994,166.349503,167.522003,167.522003,70726000,-0.016915586645763,-0.0170602893232491
143,2022-01-03,167.550003,170.703506,166.160507,170.404495,170.404495,63520000,0.0221183209306286,0.0218772589849561
144,2021-12-31,168.955994,169.350006,166.558502,166.716995,166.716995,47830000,-0.0114294032036063,-0.0114952208170203
145,2021-12-30,169.699997,170.888,168.524002,168.644501,168.644501,37584000,-0.00328900530637525,-0.00329442597332622
146,2021-12-29,170.839996,171.212006,168.600494,169.201004,169.201004,35754000,-0.00855491906630453,-0.00859172243664946
147,2021-12-28,170.182495,172.175995,169.135498,170.660995,170.660995,54638000,0.00584371398052432,0.00582670571278188
148,2021-12-27,171.037003,172.942993,169.2155,169.669495,169.669495,58688000,-0.00817802239765978,-0.00821164586394605
149,2021-12-23,170.427994,171.975006,170.149994,171.068497,171.068497,36788000,0.000184135593161728,0.000184118642284245
